ages,list_price,num_reviews,piece_count,play_star_rating,review_difficulty,star_rating,theme_name,val_star_rating,country
14,59.99,4,790,5,2,5,7,5,20
14,34.99,11,484,4.6,2,4.6,7,4.7,20
14,19.99,2,213,5,4,5,7,5,20
14,19.99,8,303,4.8,2,4.9,7,4.9,20
14,16.99,7,221,4.3,2,4.1,7,4.3,20
14,14.99,24,1,4.3,4,4.1,7,3.5,20
14,7.99,6,1,4.7,4,4.7,7,4.3,20
14,7.99,46,1,3.2,4,2.6,7,2.5,20
14,4.99,8,78,4.6,4,4.8,7,5,20
14,4.99,5,66,4.5,2,4.8,7,4.5,20
14,4.99,4,55,4.3,0,4.5,7,4.3,20
14,4.99,3,60,2.7,2,4.7,7,5,20
12,2.49,180,1,4,4,4.8,7,4.6,20
14,19.99,6,303,4.3,2,4.5,7,4.3,20
14,7.99,24,1,3.9,4,3.6,7,2.9,20
25,69.99,11,728,3.2,0,3.4,8,3.2,20
28,59.99,14,670,4.2,0,4.5,8,4.3,20
25,39.99,4,422,4,0,4.8,8,4.3,20
25,34.99,5,379,4,2,4.4,8,4.2,20
22,34.99,2,374,4,2,3.5,8,4,20
22,29.99,12,285,4.3,2,4.2,8,4.4,20
25,29.99,10,386,3.2,0,3.8,8,3.9,20
22,29.99,8,356,4,0,4.6,8,4.9,20
22,19.99,9,205,4.5,0,4.8,8,4.3,20
22,19.99,2,241,4.5,2,5,8,5,20
22,19.99,1,200,5,0,5,8,5,20
22,19.99,1,225,5,2,4,8,4,20
22,14.99,27,174,4.5,2,4.7,8,4.7,20
22,14.99,5,223,4.7,2,4.4,8,5,20
19,9.99,6,122,4.5,2,4.5,8,4.7,20
19,9.99,1,102,4,2,4,8,4,20
19,9.99,1,109,5,0,5,8,5,20
19,9.99,0,109,0,5,0,8,0,20
22,19.99,8,222,4.3,0,4.6,8,4.5,20
25,19.99,1,194,5,0,5,8,5,20
25,59.99,15,528,4.7,0,4.7,8,4.3,20
22,29.99,2,359,5,0,4.5,8,4.5,20
22,29.99,9,286,4.5,2,4.4,8,4.1,20
22,29.99,5,275,4,0,4.2,8,3.4,20
25,29.99,4,326,4.8,0,5,8,4.8,20
22,19.99,7,230,4.8,0,4.9,8,4.7,20
22,19.99,0,246,0,5,0,8,0,20
19,9.99,2,124,4,2,5,8,4.5,20
19,9.99,4,132,4,0,4.8,8,4.8,20
8,369.99,43,5923,3.9,1,4.8,9,4.5,20
8,169.99,62,2480,4.4,1,4.6,9,4.3,20
5,79.99,51,902,3.8,0,3.8,9,3.4,20
8,279.99,99,4002,4.7,1,4.8,9,4.5,20
8,249.99,64,4163,3.7,1,4.6,9,4.6,20
8,239.99,228,4295,4.2,1,4.8,9,4.6,20
8,199.99,53,2670,4.2,1,4.4,9,4.2,20
8,199.99,91,2464,4.9,1,4.9,9,4.7,20
8,169.99,115,2382,4.5,1,4.7,9,4.2,20
8,159.99,202,2469,4.7,1,4.9,9,4.7,20
8,159.99,177,2262,4.4,1,4.6,9,4.4,20
8,139.99,53,1686,4.1,0,4.6,9,4.3,20
8,119.99,337,1334,4.3,1,4.7,9,4.5,20
8,99.99,66,1167,4.5,0,4.9,9,4.7,20
8,99.99,134,1077,4.4,0,4.7,9,4.5,20
5,99.99,77,734,4.3,0,4.3,9,4.1,20
7,269.99,19,3444,4.9,1,5,37,4.9,20
29,129.99,13,955,4.1,0,3.7,10,3,20
23,89.99,6,267,4.7,0,4.3,12,4,20
26,79.99,9,643,4.4,0,4.8,37,3.5,20
23,49.99,6,622,5,0,5,10,4.8,20
23,49.99,5,425,3.2,0,3.2,37,2.6,20
23,39.99,5,406,5,0,4.8,10,4.8,20
19,29.99,6,271,4.5,2,4.8,10,4.5,20
23,29.99,5,267,3.6,2,3.2,37,3.4,20
23,29.99,11,293,4.9,0,4.7,37,4.6,20
13,24.99,1,151,5,2,5,21,5,20
23,19.99,2,198,4,5,4.5,37,4,20
19,19.99,9,197,3.9,2,4.2,10,3.9,20
19,19.99,1,199,5,0,5,10,5,20
0,9.99,5,143,4.6,2,5,4,5,20
0,9.99,3,122,2.7,4,4,4,3,20
0,9.99,1,135,1,4,4,4,3,20
0,9.99,2,108,3.5,2,5,4,4,20
0,19.99,0,209,0,5,0,4,0,20
25,79.99,7,712,3.7,0,3.9,11,3.6,20
22,24.99,4,206,5,2,4.5,11,4.3,20
22,29.99,2,217,5,0,5,11,4.5,20
22,14.99,2,145,4.5,0,4,11,5,20
7,269.99,47,2526,4.5,0,4.6,10,4.2,20
28,99.99,0,1078,0,5,0,11,0,20
26,79.99,11,759,4.2,0,4.3,10,3.9,20
23,59.99,9,563,4.7,2,4.6,10,4.4,20
22,59.99,0,432,0,5,0,11,0,20
22,44.99,1,351,5,0,5,11,5,20
23,29.99,18,306,4.5,0,4.6,10,4.3,20
19,29.99,7,286,5,2,4.7,10,4.8,20
19,29.99,8,257,4.5,0,4.4,10,3.9,20
19,19.99,32,174,4.6,2,4.8,10,4.7,20
22,14.99,2,142,4.5,0,4,11,3.5,20
19,12.99,30,91,4.3,2,4.3,10,4.4,20
0,9.99,11,91,3.8,4,4.9,4,4.7,20
16,9.99,3,93,4.7,2,4.7,10,5,20
0,9.99,12,151,3.3,2,4.8,4,4.7,20
0,9.99,10,101,4.3,4,4.8,4,4.9,20
16,9.99,1,83,5,2,5,10,5,20
16,9.99,2,85,5,2,5,10,5,20
0,9.99,9,99,3.5,2,4.3,4,4.6,20
25,79.99,7,712,3.7,0,3.9,11,3.6,20
22,24.99,4,206,5,2,4.5,11,4.3,20
22,29.99,2,217,5,0,5,11,4.5,20
22,14.99,2,145,4.5,0,4,11,5,20
28,99.99,0,1078,0,5,0,11,0,20
22,59.99,0,432,0,5,0,11,0,20
22,44.99,1,351,5,0,5,11,5,20
22,14.99,2,142,4.5,0,4,11,3.5,20
23,14.99,0,56,0,5,0,12,0,20
23,89.99,6,267,4.7,0,4.3,12,4,20
23,14.99,1,56,4,2,5,12,5,20
23,24.99,0,93,0,5,0,12,0,20
23,14.99,1,56,5,2,5,12,5,20
23,24.99,2,105,3.5,2,4,12,3.5,20
23,49.99,5,259,4.8,0,4.2,12,3.6,20
23,44.99,2,156,4.5,2,4.5,12,3.5,20
23,29.99,2,118,5,0,5,12,5,20
23,29.99,6,76,4.2,2,4.5,12,3.4,20
23,24.99,2,92,4,2,4,12,3.5,20
23,24.99,11,96,3.4,0,3.2,12,3.7,20
23,14.99,1,64,5,4,5,12,5,20
23,14.99,2,46,5,0,5,12,5,20
23,11.99,7,40,4.5,2,4.6,12,4.3,20
23,11.99,3,39,4,2,4.3,12,3.7,20
